"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
220602,265571,850.614,220659,145675,797.8,1610.6,35.3,695.4,2107.3,1504.1,4795.4,3381.8,1006.7,869.8,3808.6,2611.5,55.8,313.4,399.4,486.6,184,483.9,1168.1,872.2,2415.4,1754.1,2192.1,1738,746.9,641.4,0.805465
237818,256168,950.65,241362,152889,1049,1107.5,-226.1,1701.1,1483.7,1285.2,3601.6,2212.4,808.2,789.5,3489.9,2266.5,755.6,458.5,662,456.7,619.5,444.3,1517.7,1167.1,3760.9,2481.3,3243.2,2142.8,1011.8,648.2,0.808524
176439,208914,864.831,280026,163952,188.1,915.8,107.7,1614.7,388.9,614.4,1344.8,838.1,473.3,501.1,2393.3,1676.3,343.2,404,511.9,430.7,569.7,614,353,748.4,1919.7,1318.9,2704.4,1928.2,633.3,554.7,0.82078
172608,216324,817.079,243357,139583,52.8,699.3,55.7,1195.3,1318.2,959,3096.3,2079.6,260.2,354.5,1508.1,1151.9,296.1,468.6,504.9,438.2,295.9,496.5,852.8,1168.5,2110.2,1628.7,1790,1368.6,415.6,401.1,0.826678
161778,223452,741.379,269195,149296,193.6,1032.2,224.5,788,1039,1002.8,2876.2,1895.6,537.5,635.9,2755.2,1797.6,690.3,528.8,276.8,516.2,267,350,964.6,770.3,2422.5,1548.5,2308.6,1368.4,596.9,422.8,0.828438
316819,317919,1020.48,415704,266790,419.2,989,169.9,846.1,6156,3547.9,12430.8,7302.8,2260.3,1434.8,6785.1,4122.1,566.1,663.7,596.5,562.4,290.1,494,3961.5,2470.8,7731.8,4453.7,5660.1,3225.5,1438.5,846.4,0.828777
229223,239923,978.342,212300,132731,308.7,1175.8,144.8,1011,2535.2,1552.9,5242.9,3334.3,1177.3,724.7,3442.2,2499,400.6,511,395.9,339.9,377.9,408.8,1485.6,1236.4,3606.3,2705.2,2946.8,2267.4,677.6,633.8,0.833516
269452,259935,1061.52,247948,159974,180.6,986.6,12.7,681,945.4,1016.8,2244.7,1512.8,381.9,495.1,3595,2649.5,202,493.4,451.8,493.4,262.1,473.3,666.6,777.9,3107,2267.8,2997.3,1850.4,552.3,678.7,0.838354
210177,286070,752.352,336833,222593,311.6,952.7,-48,845.2,2715.1,1611.9,5384.6,3538.7,1114.1,704,4483.3,3161,675.3,576.9,769,538.2,583.7,573.3,1388.6,1302,4570.3,3151.4,4258.2,2850.5,1138.8,827.8,0.839354
221150,268273,844.132,227929,152419,428,1001.4,376.7,801,1247.6,1160.7,3453.7,2650.4,1210.3,1152.5,5499.1,4617.9,341.4,580.3,364.6,687.4,701,637.7,1321.9,1137.7,4036.7,3265.9,4415.8,3666.2,1219,1126.1,0.848811
426283,311197,1402.71,369827,217030,12.2,1014.3,237.7,1049.9,3859.6,2476.5,8386.4,4663,2003,1260.2,6794.7,4321.6,382.4,550.7,858.9,751.7,393.2,527.7,2830.5,1648.3,7726.8,4578.2,6403.2,4149.3,1677.1,986.3,0.85337
357512,323259,1132.51,389376,225256,1751.6,1264.5,880.1,1231.7,12975.3,6949.4,24621.3,13374,5420.4,3066,10388,6582.5,890.7,665.2,764.8,724.3,991.7,681,6677,3841.6,12117,6820,7097.5,4322.1,1397.6,877.2,0.856909
233704,256074,934.549,231588,138980,1014.9,1497.5,259.3,913.6,10121.9,6494.5,19906.4,12983.9,3806,2425.6,6854.9,4846.2,309.8,324.5,487,534.5,442.8,470.9,6518.2,4095.5,9930.6,6461.2,3689.6,2552.3,939.1,909.1,0.870944
200716,212909,965.375,396044,205899,217.2,906,-95.2,747.8,2335.7,1470.2,5593.1,3410.9,1379.6,941.3,4406.6,3054.2,613.1,497.9,450,492.2,670.8,443.2,1146.8,826.3,3480.4,2242.8,4026.8,2497.9,592.5,618.3,0.885679
