"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
323086,281911,1173.59,298912,181450,368.7,1050.8,419.3,1153.5,336.3,384.1,905.3,921.4,363.6,402.8,3615.8,2515.4,783.5,499.3,443.4,421.3,771.9,615.4,627.6,664.8,3926.1,2567.3,4639.9,2859.3,1222.6,787.1,0.178341
94107.5,196180,491.223,208701,133044,-57,973.4,-8.2,860.8,256.6,505.5,434.3,313.5,66.7,290.8,1699.5,1064.9,345,465.6,361.4,603.1,625.4,518.3,580.4,555.4,1243,949.8,1760.2,1474.7,411.1,531.3,0.179769
263989,288094,938.339,321355,181262,214.7,785.7,63.5,1078.3,162.5,625.5,1089.5,702.6,540.5,500.9,3674.1,2388.2,727.7,456.2,953.7,606.1,862.8,566.1,607.2,435.8,2707,1743.1,3514.2,1942.1,783.4,581,0.188694
107399,194976,564.072,233978,155906,-46,987.5,207.9,788,44.1,329.1,318,477.4,139.1,274,1051.6,880.1,4.2,301.7,367,566.2,229,398.2,381.1,523.4,915,826.1,1725.5,1311.1,398.2,402.3,0.191114
193514,236522,837.806,198579,124050,278.9,925.5,-81.1,787.5,366.1,492.4,997.7,675.4,469.3,502,2026,1609,583.2,478.5,425.1,397.7,139.4,509.9,373.6,586.1,2106.2,1682.3,3526.6,2455.8,823.6,827,0.192403
197124,241826,834.716,300141,195237,366,1273.6,425.4,1017.3,918.2,860.9,1181.3,1070.1,325.1,438.8,4527.6,3291.5,656.8,464.7,744.7,511.9,828.8,585.6,679.3,486.6,4086.1,2777.3,8423.5,5691.9,2274.6,1509.7,0.194446
157098,247771,649.27,226404,144153,-85.6,697.3,-113.3,1204.5,181,347.8,581,494.2,170.2,289.8,1547.3,1105.3,468.8,339.3,401.6,474.1,487.9,488.3,174.2,372.9,1267.4,1046.3,1841.1,1199.9,414.3,442.7,0.196291
257614,239236,1102.68,192551,125720,310,1058.5,-39.9,863.3,132.8,383.9,985.3,670,335.3,280.4,2087.2,1759,220,438.7,302,435.6,530.6,433.6,221.2,495.9,1147.1,1189.4,2196.5,1681,833.5,575.6,0.20466
136480,265024,527.328,320492,187746,203.1,1437.1,-44.2,776.5,348.2,668.9,886.1,862,380.5,292.8,3913.4,3103,509.5,450.8,236.6,410.4,232.5,318.5,605.9,653.8,2549.9,1926.3,3614,2468.9,747.4,737.7,0.208647
206426,223284,946.702,197907,136428,425.3,1320.4,-138.9,794.8,507.8,537.7,573.3,606.3,238.6,357.4,2688.8,1735.6,535.9,480.1,184.5,362.7,564.9,528.2,500.8,537.8,2487.6,1799.6,3040,1994.7,831,579.9,0.224692
211912,244525,887.44,221196,139038,-263,781.3,217.7,1111.4,367.1,471.7,923.9,737.9,156.6,371,3160.6,2311.2,-68.2,408.4,102.4,335.1,66.8,606.6,484.1,538.6,2552.2,2072.8,3091.2,2131.1,923,617.2,0.226298
98782.1,208246,485.751,216077,128661,30,902.3,203.6,666.7,-85.9,571.4,921.3,644.2,381.5,484.5,1761.8,1192.7,475.4,541.7,661.6,786.2,638.9,651.8,338.7,504.4,1343.6,1282.3,1908.3,1401.3,544.8,540.4,0.236671
176912,250218,724.004,202020,135173,157.2,770.3,-6.1,993.3,499.1,536.8,227.4,434.4,-70,167.1,2900.4,2122.4,585.2,479.1,600.2,616.7,751.4,603.6,219.8,539.6,2584,1948,3161.5,2086,975.6,509.4,0.249325
447394,296064,1547.41,407188,242913,215.4,1069.8,59,692.5,181.5,477.3,1413.7,835.3,464.2,572.6,5035.2,3765.6,960.9,721.5,648.7,658.3,861,746.8,710.9,820.3,4319.4,3056.4,5005.5,3122.7,1835.8,1169.5,0.25585
320465,284272,1154.4,252703,158741,311.2,915.3,-36.3,859.5,398,404.5,1014.8,774.6,499.4,372.2,3418.8,2260.1,505.1,609.7,472.4,436.9,824.1,550,351.8,551.8,2971.6,1945,4333.3,2772.2,1252.5,955.1,0.258131
289492,269172,1101.32,242523,155934,519.3,1232.1,120.3,941.6,-156.2,347.8,759.2,491.1,231.9,320.3,2682.7,2026.4,305.3,332.3,440.6,330.8,659.8,609.7,569.9,693.3,2833.3,1826.3,3116.3,2174.7,610.7,713.1,0.264478
278692,250361,1139.88,280667,158806,-278.6,1117.6,-87.1,881.7,263.1,376.4,863.1,517,437.3,458.1,3251.2,1961.6,423.2,617.4,487.6,459.1,474.9,506.3,662,553.7,2257.4,1281.5,2638.7,1981.4,633.6,536,0.266382
222743,251212,907.968,217777,147747,73.8,1009.9,-57.4,1242.7,198.8,412.1,802,613.5,347.6,422.3,3317.6,2106.6,549.7,530.5,586.1,504.5,694.5,647.1,419.1,621.6,2778.4,2020.1,3281.5,2186.9,617.5,702,0.26892
361401,270117,1370.08,254881,160206,466.2,1120.5,-92.9,748.7,348.1,522.8,865.5,830.2,264.3,394,3851.4,2829.2,404.7,429.7,913.9,977.8,753.5,441.1,685.3,616,3827.1,2578.2,4992.8,3366.3,1474.9,959,0.27136
131619,217107,620.796,367323,200499,543.9,1131.3,146.1,880.4,102.3,408.3,598.4,489,246.6,393.2,2710.3,1581.5,615.8,435.7,428.6,508.5,255.5,313.6,213.6,446.1,1505.4,1054.4,2557.8,1338.5,676.1,461.9,0.274474
185382,211314,898.341,236475,140683,35.9,828.7,-252.9,1098.1,98.5,344,439.2,413.1,193.8,324.2,2334.2,1526.8,453.3,590,644,512.5,339.6,458.5,148.1,522.1,1649.9,1222.5,2331.7,1589.8,694.4,428.7,0.274751
296214,238007,1274.47,192717,122371,784,1360.1,241.8,828.1,412.9,549.9,584.6,749.8,94.9,323.4,4919.3,3465.8,347.1,404.4,621.6,374.2,399.7,449.4,297.2,467.5,2558.5,2119.5,4493.2,3017.8,897.5,971,0.281971
239727,233633,1050.71,199685,130790,-50.1,613.6,-250.1,1065.7,86.1,440.4,365.1,277,188.3,314.1,1729.7,1489.6,353.2,401.4,512.1,691.1,190.4,338.3,454.5,537.7,1849.4,1369.5,2172.7,1573.4,821.1,632,0.283101
205280,225627,931.668,308377,194259,186.2,1092.4,-164.9,1687.2,154.3,548.9,486.5,612.8,312.2,309.4,2427.5,1418,167.2,367.3,615.1,438.3,77.2,427.1,389,491.4,1894.5,1358,2228.9,1528.1,553.2,502.5,0.287683
