"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
250076,214613,1193.24,273398,168728,6227.11
172382,235440,749.742,269030,180738,7443.15
289925,243376,1219.85,284458,184965,3828.4
302252,219349,1411.05,178282,116073,8661.33
219677,231076,973.501,359052,243805,5816.78
302639,206885,1497.98,185314,133227,9978.21
393606,278429,1447.62,342694,215330,3342.16
499531,342172,1494.94,422897,253072,20203.4
301616,261034,1183.2,235522,152855,4317.44
383529,243652,1611.89,316826,209597,2567.25
282587,219990,1315.41,335780,216570,5028.02
299860,243035,1263.44,295951,213920,12196.2
251344,217801,1181.71,260305,171303,7274.12
255335,243917,1071.95,288845,188179,4821.26
401655,249897,1645.86,291289,175863,5141.36
251494,191256,1346.57,191383,125221,1703.76
478762,272788,1797.22,357041,206768,3436.06
340290,234106,1488.47,206977,139295,2586.43
341638,225537,1551.14,416693,259725,2528.1
362326,256260,1447.85,230105,144709,3018.41
244795,191758,1307.26,191494,143514,4097.54
372216,242747,1570.17,355803,214744,1311.31
338067,237967,1454.78,299827,190799,7381.29
373778,292322,1309.35,300455,210243,10926.9
285287,231161,1263.77,259138,175713,4975.51
257195,208058,1265.85,192533,138757,2199.68
211764,213722,1014.63,279425,202956,6128.97
342431,221402,1583.78,344485,225290,7352.39
216108,206726,1070.51,291865,199854,20734.5
370488,244853,1549.45,258955,178787,12777
211931,210597,1030.51,204416,138515,1896.42
316577,241414,1342.85,353098,231840,4932.11
306623,242580,1294.36,237833,156197,2217.21
204742,168006,1247.95,206100,151594,2605.19
176248,153802,1173.46,188339,138924,7955.48
353075,228324,1583.51,256462,166240,2881.59
348931,265184,1347.38,314028,189263,4327.19
338742,243612,1423.89,393256,265718,9212.22
220836,181883,1243.33,233472,161640,5827.18
358814,246164,1492.63,353803,212917,3773.05
279087,205886,1388.11,354569,226801,29029.1
271378,218745,1270.39,442073,277243,16519
394341,260517,1550.04,360590,222341,12305
258368,222012,1191.71,252091,160534,6756.92
311160,238498,1335.99,229318,153004,5644.94
275675,254629,1108.66,351480,224500,7828.11
547575,321885,1742,547910,284827,11698.8
212150,197325,1100.96,163971,103852,2739.21
303446,248713,1249.35,403756,278341,10013.2
279313,259212,1103.42,374454,255863,6263.75
237334,183970,1321.04,256798,167878,2945.07
409465,253027,1657.12,593044,420913,9959.64
290094,243728,1218.8,447848,283726,37242
299590,222833,1376.73,205546,141903,3385.95
190358,240068,811.975,329636,218749,4865.43
305483,230409,1357.66,227748,159548,4198.99
287326,254725,1155.08,246016,161096,2008.2
280099,221300,1296.1,253633,159350,4322.98
265036,250008,1085.58,445896,262962,6216.37
240946,197708,1247.97,281578,212483,3502.62
328814,223704,1505.14,450864,245220,5893.6
267426,180243,1519.33,243494,165968,3630.09
364348,237383,1571.73,411173,266198,7288.53
249663,201381,1269.54,318087,202284,6370.21
233888,210645,1137.01,233785,158626,7331.6
218584,161884,1382.68,249761,163704,11549.2
317245,219038,1483.16,345304,228274,19294.7
387608,233250,1701.67,346385,204691,5394.6
293101,194543,1542.83,308835,203241,13081.3
309590,272836,1161.96,259822,176655,7183.09
452923,269709,1719.64,431470,264755,8963.63
256598,254168,1033.82,282312,198205,6143.38
338366,254713,1360.31,291279,181005,11617.6
186079,173228,1099.99,266267,181309,2009.47
266901,261294,1045.99,368024,239498,6475.6
302710,194389,1594.65,199083,145011,1243.28
298444,177349,1723.24,515793,300194,10800
213365,206912,1055.98,223452,168981,1887.39
343992,218044,1615.51,275552,193704,1652.27
180135,172612,1068.65,283051,209861,6321.82
255193,253886,1029.29,285711,199274,14471.9
211294,246275,878.559,161157,117168,2995.32
341118,259735,1344.89,222485,158959,1774.94
236583,230130,1052.72,324057,231570,7441.37
433260,273678,1621.13,375136,268070,13044.3
223888,264109,868.068,276737,189875,7803.74
301539,293634,1051.57,283555,179369,15923.8
338394,274854,1260.75,402014,220034,24082.5
235271,215061,1120.25,244479,175115,1134.32
332025,255509,1330.67,337568,218010,12430.6
333430,265937,1283.89,348919,234535,7545.59
249182,222144,1148.68,359102,251645,7137.74
316503,250390,1294.41,241018,167018,3168.66
263212,242461,1111.66,339618,224354,11026.4
255237,214295,1219.68,216197,146391,3475.31
183810,208882,901.098,203231,143643,5238.01
306322,247274,1268.54,282235,195037,8190.11
233437,224186,1066.26,270430,158092,4596.02
335492,234911,1462.48,227923,157473,3924.86
395864,285603,1419.34,280442,206572,6338.1
180244,203173,908.457,209420,146019,4427.76
246945,211126,1197.76,252726,170623,4007.29
223954,217708,1053.4,255748,176221,2059.2
